tag,step,value
Episode_Reward/track_linear_velocity,111,0.0019439379684627056
Episode_Reward/track_linear_velocity,112,0.0019800246227532625
Episode_Reward/track_linear_velocity,113,0.002059144666418433
Episode_Reward/track_linear_velocity,114,0.00212593050673604
Episode_Reward/track_linear_velocity,115,0.002188947983086109
Episode_Reward/track_linear_velocity,116,0.00231150328181684
Episode_Reward/track_linear_velocity,117,0.0024548955261707306
Episode_Reward/track_linear_velocity,118,0.002627244219183922
Episode_Reward/track_linear_velocity,119,0.0025905717629939318
Episode_Reward/track_linear_velocity,120,0.0027062110602855682
Episode_Reward/track_linear_velocity,121,0.002680869773030281
Episode_Reward/track_linear_velocity,122,0.0028292955830693245
Episode_Reward/track_linear_velocity,123,0.0029447253327816725
Episode_Reward/track_linear_velocity,124,0.00296001392416656
Episode_Reward/track_linear_velocity,125,0.0031083407811820507
Episode_Reward/track_linear_velocity,126,0.0032661198638379574
Episode_Reward/track_linear_velocity,127,0.0033277743496000767
Episode_Reward/track_linear_velocity,128,0.003471069736406207
Episode_Reward/track_linear_velocity,129,0.003401622176170349
Episode_Reward/track_linear_velocity,130,0.0035118665546178818
Episode_Reward/track_linear_velocity,131,0.0036794389598071575
Episode_Reward/track_linear_velocity,132,0.003876296803355217
Episode_Reward/track_linear_velocity,133,0.003977220971137285
Episode_Reward/track_linear_velocity,134,0.003966016694903374
Episode_Reward/track_linear_velocity,135,0.004066266119480133
Episode_Reward/track_linear_velocity,136,0.004209788050502539
Episode_Reward/track_linear_velocity,137,0.004272559192031622
Episode_Reward/track_linear_velocity,138,0.004467438440769911
Episode_Reward/track_linear_velocity,139,0.00453588692471385
Episode_Reward/track_linear_velocity,140,0.004709060303866863
Episode_Reward/track_linear_velocity,141,0.004830644465982914
Episode_Reward/track_linear_velocity,142,0.004993783310055733
Episode_Reward/track_linear_velocity,143,0.005153343081474304
Episode_Reward/track_linear_velocity,144,0.005356452893465757
Episode_Reward/track_linear_velocity,145,0.00550585612654686
Episode_Reward/track_linear_velocity,146,0.00564120477065444
Episode_Reward/track_linear_velocity,147,0.005688176490366459
Episode_Reward/track_linear_velocity,148,0.005692414939403534
Episode_Reward/track_linear_velocity,149,0.005793611519038677
Episode_Reward/track_linear_velocity,150,0.005861613899469376
Episode_Reward/track_linear_velocity,151,0.006046060007065535
Episode_Reward/track_linear_velocity,152,0.006205286830663681
Episode_Reward/track_linear_velocity,153,0.006458040326833725
Episode_Reward/track_linear_velocity,154,0.006589573808014393
Episode_Reward/track_linear_velocity,155,0.00664952676743269
Episode_Reward/track_linear_velocity,156,0.006612235214561224
Episode_Reward/track_linear_velocity,157,0.006709507666528225
Episode_Reward/track_linear_velocity,158,0.006790573708713055
Episode_Reward/track_linear_velocity,159,0.007000862620770931
Episode_Reward/track_linear_velocity,160,0.007034176494926214
Episode_Reward/track_linear_velocity,161,0.007580944802612066
Episode_Reward/track_linear_velocity,162,0.007620116695761681
Episode_Reward/track_linear_velocity,163,0.008373870514333248
Episode_Reward/track_linear_velocity,164,0.008443931117653847
Episode_Reward/track_linear_velocity,165,0.008579393848776817
Episode_Reward/track_linear_velocity,166,0.009186288341879845
Episode_Reward/track_linear_velocity,167,0.009164179675281048
Episode_Reward/track_linear_velocity,168,0.009274329990148544
Episode_Reward/track_linear_velocity,169,0.010431795381009579
Episode_Reward/track_linear_velocity,170,0.01071552000939846
Episode_Reward/track_linear_velocity,171,0.010951967909932137
Episode_Reward/track_linear_velocity,172,0.011812161654233932
Episode_Reward/track_linear_velocity,173,0.012509208172559738
Episode_Reward/track_linear_velocity,174,0.013769528828561306
Episode_Reward/track_linear_velocity,175,0.014616135507822037
Episode_Reward/track_linear_velocity,176,0.015158402733504772
Episode_Reward/track_linear_velocity,177,0.015450512990355492
Episode_Reward/track_linear_velocity,178,0.016203314065933228
Episode_Reward/track_linear_velocity,179,0.016429826617240906
Episode_Reward/track_linear_velocity,180,0.016392095014452934
Episode_Reward/track_linear_velocity,181,0.017745254561305046
Episode_Reward/track_linear_velocity,182,0.01774102821946144
Episode_Reward/track_linear_velocity,183,0.01679583452641964
Episode_Reward/track_linear_velocity,184,0.01691913977265358
Episode_Reward/track_linear_velocity,185,0.01688949391245842
Episode_Reward/track_linear_velocity,186,0.01749902218580246
Episode_Reward/track_linear_velocity,187,0.017312094569206238
Episode_Reward/track_linear_velocity,188,0.01865309290587902
Episode_Reward/track_linear_velocity,189,0.01910393498837948
Episode_Reward/track_linear_velocity,190,0.01977379061281681
Episode_Reward/track_linear_velocity,191,0.02111063525080681
Episode_Reward/track_linear_velocity,192,0.022574640810489655
Episode_Reward/track_linear_velocity,193,0.023107700049877167
Episode_Reward/track_linear_velocity,194,0.02358247898519039
Episode_Reward/track_linear_velocity,195,0.024010252207517624
Episode_Reward/track_linear_velocity,196,0.0251905657351017
Episode_Reward/track_linear_velocity,197,0.023566052317619324
Episode_Reward/track_linear_velocity,198,0.02498747408390045
Episode_Reward/track_linear_velocity,199,0.02506338059902191
Episode_Reward/track_linear_velocity,200,0.02721939980983734
Episode_Reward/track_linear_velocity,201,0.02698376588523388
Episode_Reward/track_linear_velocity,202,0.02731664478778839
Episode_Reward/track_linear_velocity,203,0.027323927730321884
Episode_Reward/track_linear_velocity,204,0.030726468190550804
